GTAP9_Code,year,ass_pov_extr,,
117,2011,33.54926,,
118,2004,30.939752,,
118,2007,26.859938,,
118,2011,15.1529,,
119,2004,38.1,,
119,2007,28.38,,
119,2011,12.72219,,
120,2004,28.6,,
120,2007,27.5561325,,
120,2011,22.27791,,
121,2004,58.09754462,,
121,2007,54.00815858,,
121,2011,38.07287731,,
122,2004,46.39872795,,
122,2007,44.8845654,,
122,2011,43.81584888,,
123,2004,60.70113977,,
123,2007,60.72572534,,
123,2011,59.58081093,,
124,2004,87.5,,
124,2007,83.83333333,,
124,2011,76.5,,
125,2004,41.629296,,
125,2007,31.182324,,
125,2011,27.7,,
126,2004,63.36467,,
126,2007,56.1161675,,
126,2011,53.7,,
127,2004,48,,
127,2007,43.2,,
127,2011,38.4,,
128,2004,NaN,,
128,2007,NaN,,
128,2011,NaN,,
129,2004,53.83318333,,
129,2007,47.81327333,,
129,2011,42.44818,,
130,2004,73.7,,
130,2007,62.58,,
130,2011,45.9,,
131,2004,40.6,,
131,2007,40.6,,
131,2011,35,,
132,2004,50.1,,
132,2007,46.12,,
132,2011,30.2,,
133,2004,39.5,,
133,2007,39.5,,
133,2011,30.18894667,,
134,2004,34.3,,
134,2007,32.6,,
134,2011,25.1699575,,
135,2004,52.44073876,,
135,2007,51.78477374,,
135,2011,50.7356483,,
136,2004,NaN,,
136,2007,NaN,,
136,2011,NaN,,
137,2004,24.6,,
137,2007,23.41093286,,
137,2011,18.65466429,,
138,2004,1.505064,,
138,2007,4.276266,,
138,2011,3.69490075,,
139,2004,35.92661605,,
139,2007,28.69122414,,
139,2011,20.41273913,,
140,2004,0,,
140,2007,0,,
140,2011,0,,
