year, GTAP9_code, GTAP_name, clum7, clum7_name, coicop_expenditure, crop_land, grazing_land, forest_land, fishing_ground, built_up_land, carbon, total, flag,,ZScore_Index,MaxMin_Index,NAPercent,,,GTAP_Region,year,ZScore_Index,MaxMin_Index,NAPercent,CLUM_category
2004,2,New Zealand,GFCF,Gross Fixed Capital Formation,0.005623213,0.05856412,0.039058308,0.35967023,0.040891892,0.037516401,0.867692009,1.40339296,COUNTRY,2004New ZealandGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004ArmeniaFood,39,Armenia,2004,-0.522845955,0.141938865,0,Food
2004,2,New Zealand,Govt,Government,0.004328165,0.026993837,0.019372933,0.070930725,0.024820475,0.017156961,0.352416083,0.511691014,COUNTRY,2004New ZealandGovernment,0.536224669,0.400209214,9.090909091,2004ArmeniaGoods,38,Armenia,2004,NA,0.033333333,0,Goods
2004,3,Rest of Oceania,1,Food,6.97E-06,0.348105856,0.089935653,0.025431532,0.283116096,0.01742802,0.12085012,0.884867277,INCOME_GRP,2004Rest of OceaniaFood,#N/A,#N/A,#N/A,2004ArmeniaGovernment,40,Armenia,2004,-0.227025477,0.140888114,18.18181818,Government
2004,3,Rest of Oceania,2,Housing,1.09E-05,0.008407774,0.00236744,0.036175742,0.006444279,0.013986546,0.128769517,0.196151297,INCOME_GRP,2004Rest of OceaniaHousing,#N/A,#N/A,#N/A,2004ArmeniaHousing,37,Armenia,2004,NA,NA,100,Housing
2004,3,Rest of Oceania,3,Personal Transportation,6.17E-06,0.021492169,0.005893866,0.024207145,0.017757084,0.012216972,0.220093905,0.301661141,INCOME_GRP,2004Rest of OceaniaPersonal Transportation,#N/A,#N/A,#N/A,2004ArmeniaServices,42,Armenia,2004,0.541190371,0.491824879,12.5,Services
2004,3,Rest of Oceania,4,Goods,4.14E-06,0.061377049,0.01181658,0.030956552,0.023355871,0.014179304,0.101511364,0.243196719,INCOME_GRP,2004Rest of OceaniaGoods,#N/A,#N/A,#N/A,2004ArmeniaPersonal Transportation,41,Armenia,2004,-0.152484868,0.000182961,33.33333333,Personal Transportation
2004,3,Rest of Oceania,5,Services,1.19E-05,0.014505032,0.006965171,0.02145648,0.010683416,0.016394742,0.072652377,0.142657217,INCOME_GRP,2004Rest of OceaniaServices,#N/A,#N/A,#N/A,2004AustraliaFood,56,Australia,2004,-0.285290345,0.208104082,20,Food
2004,3,Rest of Oceania,GFCF,Gross Fixed Capital Formation,0.000669198,0.028542683,0.009723475,0.096262184,0.018492489,0.030700352,0.264929312,0.448650496,COUNTRY,2004Rest of OceaniaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004AustraliaGoods,55,Australia,2004,NA,Inf,0,Goods
2004,3,Rest of Oceania,Govt,Government,0.000678533,0.032117608,0.004741534,0.029417161,0.019359112,0.03123876,0.135474394,0.252348569,COUNTRY,2004Rest of OceaniaGovernment,#N/A,#N/A,#N/A,2004AustraliaGovernment,60,Australia,2004,0.385557341,0.281684253,27.27272727,Government
2004,4,China,1,Food,8.22E-07,0.284052317,0.032004441,0.011520513,0.06749458,0.01337136,0.131035926,0.539479137,INCOME_GRP,2004ChinaFood,-0.012963093,0.187500796,0,2004AustraliaHousing,59,Australia,2004,0.11255421,0.654521,0,Housing
2004,4,China,2,Housing,3.30E-06,0.010982812,0.004961944,0.010819357,0.001952446,0.007150876,0.327478576,0.363346011,INCOME_GRP,2004ChinaHousing,-0.981201868,0.333312993,0,2004AustraliaServices,57,Australia,2004,-0.067148173,0.462852956,37.5,Services
2004,4,China,3,Personal Transportation,8.32E-07,0.011418659,0.004680407,0.005517655,0.00196385,0.004281539,0.132525729,0.160387839,INCOME_GRP,2004ChinaPersonal Transportation,0.444710465,0.042982063,33.33333333,2004AustraliaPersonal Transportation,58,Australia,2004,0.053223846,0.014925454,33.33333333,Personal Transportation
2004,4,China,4,Goods,6.36E-07,0.035317458,0.01321795,0.007327794,0.003912226,0.006019968,0.075150642,0.140946038,INCOME_GRP,2004ChinaGoods,NA,0.004311422,0,2004AustriaFood,75,Austria,2004,0.293820848,0.26339506,20,Food
2004,4,China,5,Services,2.07E-06,0.013334815,0.006332275,0.00592587,0.001591179,0.006288444,0.066013781,0.099486364,INCOME_GRP,2004ChinaServices,0.009230248,0.303352844,50,2004AustriaGoods,73,Austria,2004,NA,Inf,0,Goods
2004,4,China,GFCF,Gross Fixed Capital Formation,0.000558851,0.093240992,0.024683085,0.061010969,0.01096394,0.045619353,0.7113857,0.946904039,COUNTRY,2004ChinaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004AustriaGovernment,76,Austria,2004,0.327691092,0.455446297,27.27272727,Government
2004,4,China,Govt,Government,0.000205194,0.023730748,0.007193893,0.012632446,0.002780877,0.012137667,0.136214587,0.194690219,COUNTRY,2004ChinaGovernment,0.359675128,0.210941563,18.18181818,2004AustriaHousing,78,Austria,2004,1.179361056,0.967814711,0,Housing
2004,5,"Hong Kong, Special Administrative Region of China",1,Food,1.39E-05,0.346836612,0.081458656,0.028985446,0.325660849,0.014939008,0.274655242,1.072535813,INCOME_GRP,"2004Hong Kong, Special Administrative Region of ChinaFood",#N/A,#N/A,#N/A,2004AustriaServices,77,Austria,2004,0.642493143,0.449277963,25,Services
2004,5,"Hong Kong, Special Administrative Region of China",2,Housing,0.000104946,0.037627275,0.019018891,0.072672777,0.008853588,0.013409541,0.41781114,0.569393213,INCOME_GRP,"2004Hong Kong, Special Administrative Region of ChinaHousing",#N/A,#N/A,#N/A,2004AustriaPersonal Transportation,74,Austria,2004,-0.067421783,0.427985436,0,Personal Transportation
2004,5,"Hong Kong, Special Administrative Region of China",3,Personal Transportation,4.46E-05,0.067448689,0.040346317,0.08993966,0.016265006,0.018473232,0.444357318,0.676830222,INCOME_GRP,"2004Hong Kong, Special Administrative Region of ChinaPersonal Transportation",#N/A,#N/A,#N/A,2004AzerbaijanFood,93,Azerbaijan,2004,-0.388923542,0.153122497,0,Food
2004,5,"Hong Kong, Special Administrative Region of China",4,Goods,1.82E-05,0.407129417,0.085039197,0.122875463,0.033108914,0.050750453,0.876951966,1.575855409,INCOME_GRP,"2004Hong Kong, Special Administrative Region of ChinaGoods",#N/A,#N/A,#N/A,2004AzerbaijanGoods,92,Azerbaijan,2004,NA,0.004761905,0,Goods
2004,5,"Hong Kong, Special Administrative Region of China",5,Services,4.18E-05,0.039842846,0.018495788,0.029891948,0.007262196,0.01842453,0.276626301,0.390543609,INCOME_GRP,"2004Hong Kong, Special Administrative Region of ChinaServices",#N/A,#N/A,#N/A,2004AzerbaijanGovernment,94,Azerbaijan,2004,-0.181373363,0.170732186,9.090909091,Government
2004,5,"Hong Kong, Special Administrative Region of China",GFCF,Gross Fixed Capital Formation,0.005624397,0.078099447,0.028064474,0.090252744,0.018956868,0.036744516,0.785620319,1.037738369,COUNTRY,"2004Hong Kong, Special Administrative Region of ChinaGross Fixed Capital Formation",#N/A,#N/A,#N/A,2004AzerbaijanHousing,91,Azerbaijan,2004,NA,NA,100,Housing
2004,5,"Hong Kong, Special Administrative Region of China",Govt,Government,0.002680584,0.035207109,0.018142907,0.018973492,0.007670209,0.011648535,0.243298862,0.334941113,COUNTRY,"2004Hong Kong, Special Administrative Region of ChinaGovernment",#N/A,#N/A,#N/A,2004AzerbaijanServices,96,Azerbaijan,2004,0.454906652,0.608913207,12.5,Services
2004,6,Japan,1,Food,0.332871526,0.505487039,0.043206612,0.034991093,0.243862934,0.012608703,0.270419316,1.110575697,COUNTRY,2004JapanFood,0.259965285,0.258998746,20,2004AzerbaijanPersonal Transportation,95,Azerbaijan,2004,-0.149996055,0.000361326,33.33333333,Personal Transportation
2004,6,Japan,2,Housing,0.543574841,0.028664412,0.008578194,0.075517769,0.015787737,0.013380279,0.611672303,0.753600692,COUNTRY,2004JapanHousing,1.250521259,0.988712631,0,2004BahrainFood,111,Bahrain,2004,-0.619123676,0.242069711,40,Food
2004,6,Japan,3,Personal Transportation,0.228173051,0.023432565,0.006725983,0.022522334,0.011947892,0.009717489,0.632278705,0.706624967,COUNTRY,2004JapanPersonal Transportation,0.393586992,0.463889102,0,2004BahrainGoods,110,Bahrain,2004,NA,Inf,0,Goods
2004,6,Japan,4,Goods,0.492539384,0.121706139,0.025436491,0.039012843,0.026866771,0.019077205,0.349736418,0.581835867,COUNTRY,2004JapanGoods,NA,Inf,0,2004BahrainGovernment,112,Bahrain,2004,0.031186818,0.252727071,9.090909091,Government
2004,6,Japan,5,Services,0.618779346,0.035924444,0.015504272,0.027613194,0.010808063,0.011957986,0.242901151,0.34470911,COUNTRY,2004JapanServices,0.402336329,0.501715228,12.5,2004BahrainHousing,109,Bahrain,2004,NA,NA,100,Housing
2004,6,Japan,GFCF,Gross Fixed Capital Formation,0.007954086,0.074736266,0.017176723,0.256383251,0.030576212,0.036848019,0.80861228,1.224332751,COUNTRY,2004JapanGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BahrainServices,113,Bahrain,2004,0.161417335,0.561667557,25,Services
2004,6,Japan,Govt,Government,0.006687657,0.043291502,0.007027807,0.033213516,0.020615449,0.014457904,0.371077381,0.489683558,COUNTRY,2004JapanGovernment,-2.209432975,-0.347484726,9.090909091,2004BahrainPersonal Transportation,114,Bahrain,2004,0.477789701,0.474158188,0,Personal Transportation
2004,7,South Korea,1,Food,1.228107468,0.476494947,0.044442439,0.037358946,0.296857326,0.010050006,0.286603169,1.151806834,COUNTRY,2004South KoreaFood,#N/A,#N/A,#N/A,2004BangladeshFood,131,Bangladesh,2004,-0.312471934,0.160694262,0,Food
2004,7,South Korea,2,Housing,1.818977448,0.027843177,0.005070159,0.037704961,0.017508582,0.008713289,0.67060593,0.767446097,COUNTRY,2004South KoreaHousing,#N/A,#N/A,#N/A,2004BangladeshGoods,128,Bangladesh,2004,NA,0.000220751,0,Goods
2004,7,South Korea,3,Personal Transportation,0.998039894,0.030928939,0.00569017,0.0220564,0.018418493,0.008908352,0.665210946,0.7512133,COUNTRY,2004South KoreaPersonal Transportation,#N/A,#N/A,#N/A,2004BangladeshGovernment,129,Bangladesh,2004,-0.410830762,0.128739254,18.18181818,Government
2004,7,South Korea,4,Goods,2.037146394,0.111145327,0.024231694,0.040882045,0.044571791,0.015883703,0.394985118,0.631699678,COUNTRY,2004South KoreaGoods,#N/A,#N/A,#N/A,2004BangladeshHousing,127,Bangladesh,2004,NA,NA,100,Housing
2004,7,South Korea,5,Services,3.006659093,0.036493309,0.011473182,0.021235239,0.013465948,0.010917465,0.283157617,0.376742759,COUNTRY,2004South KoreaServices,#N/A,#N/A,#N/A,2004BangladeshServices,130,Bangladesh,2004,-0.31745125,0.303312443,62.5,Services
2004,7,South Korea,GFCF,Gross Fixed Capital Formation,0.00447254,0.090651154,0.016196929,0.181463253,0.038182867,0.041133248,1.173244736,1.540872188,COUNTRY,2004South KoreaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BangladeshPersonal Transportation,132,Bangladesh,2004,-0.146775362,0.000592143,33.33333333,Personal Transportation
2004,7,South Korea,Govt,Government,0.002407149,0.03401074,0.004156884,0.020214858,0.015920467,0.010609395,0.330561213,0.415473557,COUNTRY,2004South KoreaGovernment,#N/A,#N/A,#N/A,2004BelarusFood,146,Belarus,2004,-0.298149886,0.207921598,20,Food
2004,8,Mongolia,1,Food,9.93E-07,0.248057196,1.809268843,0.010049169,0.004580654,0.002443459,0.104644345,2.179043666,INCOME_GRP,2004MongoliaFood,-0.394726516,0.151588367,0,2004BelarusGoods,145,Belarus,2004,NA,Inf,0,Goods
2004,8,Mongolia,2,Housing,1.96E-06,0.004856589,0.001283685,0.025310217,0.000459836,0.003524533,0.750412251,0.785847111,INCOME_GRP,2004MongoliaHousing,NA,NA,100,2004BelarusGovernment,148,Belarus,2004,0.162357106,0.264142381,18.18181818,Government
2004,8,Mongolia,3,Personal Transportation,1.10E-06,0.003182144,0.000846805,0.013815776,0.000321724,0.001564392,0.201337756,0.221068596,INCOME_GRP,2004MongoliaPersonal Transportation,0.444075866,0.471376352,0,2004BelarusHousing,149,Belarus,2004,0.666772309,0.81728059,0,Housing
2004,8,Mongolia,4,Goods,4.60E-07,0.050139546,0.001935678,0.004472279,0.000581929,0.001622327,0.05384741,0.11259917,INCOME_GRP,2004MongoliaGoods,NA,0.001052632,0,2004BelarusServices,150,Belarus,2004,0.764837263,0.600619449,0,Services
2004,8,Mongolia,5,Services,7.10E-07,0.002159739,0.00047955,0.00228856,0.000127753,0.000710834,0.039262883,0.04502932,INCOME_GRP,2004MongoliaServices,-0.074252469,0.390421034,12.5,2004BelarusPersonal Transportation,147,Belarus,2004,-0.153665043,9.84E-05,33.33333333,Personal Transportation
2004,8,Mongolia,GFCF,Gross Fixed Capital Formation,0.00022833,0.017132208,0.905173396,0.042126804,0.000997962,0.004363418,0.202570764,1.172364551,COUNTRY,2004MongoliaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BelgiumFood,167,Belgium,2004,0.75070603,0.305457712,20,Food
2004,8,Mongolia,Govt,Government,0.00013136,0.012210201,0.001391656,0.011623529,0.000396025,0.002990842,0.200648053,0.229260307,COUNTRY,2004MongoliaGovernment,-0.081327136,0.250144346,9.090909091,2004BelgiumGoods,163,Belgium,2004,NA,Inf,0,Goods
2004,9,"Taiwan, Republic of China",1,Food,4.92E-06,0.620877318,0.063288598,0.021731249,0.825850158,0.008979556,0.320641132,1.861368012,INCOME_GRP,"2004Taiwan, Republic of ChinaFood",#N/A,#N/A,#N/A,2004BelgiumGovernment,165,Belgium,2004,0.368024086,0.36917604,9.090909091,Government
2004,9,"Taiwan, Republic of China",2,Housing,0.000151156,0.011054798,0.002762166,0.025194975,0.001959417,0.008337645,0.73246486,0.781773861,INCOME_GRP,"2004Taiwan, Republic of ChinaHousing",#N/A,#N/A,#N/A,2004BelgiumHousing,164,Belgium,2004,0.3389222,0.720999452,0,Housing
2004,9,"Taiwan, Republic of China",3,Personal Transportation,1.77E-05,0.014912495,0.004914348,0.024612768,0.00306722,0.009313496,0.721104848,0.777925176,INCOME_GRP,"2004Taiwan, Republic of ChinaPersonal Transportation",#N/A,#N/A,#N/A,2004BelgiumServices,168,Belgium,2004,0.80086967,0.567826728,12.5,Services
2004,9,"Taiwan, Republic of China",4,Goods,5.96E-06,0.050760578,0.011664365,0.027701239,0.004019553,0.009168945,0.269608421,0.372923101,INCOME_GRP,"2004Taiwan, Republic of ChinaGoods",#N/A,#N/A,#N/A,2004BelgiumPersonal Transportation,166,Belgium,2004,0.412620951,0.468628298,0,Personal Transportation
2004,9,"Taiwan, Republic of China",5,Services,3.67E-05,0.019540874,0.007051055,0.015304668,0.003047857,0.008387688,0.23538969,0.288721832,INCOME_GRP,"2004Taiwan, Republic of ChinaServices",#N/A,#N/A,#N/A,2004BeninFood,186,Benin,2004,-0.365275728,0.154163411,0,Food
2004,9,"Taiwan, Republic of China",GFCF,Gross Fixed Capital Formation,0.003137648,0.045731893,0.010094797,0.137388491,0.007954689,0.030173353,0.860506386,1.09184961,COUNTRY,"2004Taiwan, Republic of ChinaGross Fixed Capital Formation",#N/A,#N/A,#N/A,2004BeninGoods,182,Benin,2004,NA,0.000355872,0,Goods
2004,9,"Taiwan, Republic of China",Govt,Government,0.001726245,0.013680851,0.001416279,0.010234332,0.00290045,0.004746528,0.205781202,0.238759642,COUNTRY,"2004Taiwan, Republic of ChinaGovernment",#N/A,#N/A,#N/A,2004BeninGovernment,185,Benin,2004,-0.661994275,0.18143202,9.090909091,Government
2004,10,Rest of East Asia,1,Food,1.69E-06,0.256266925,0.013176662,0.010905305,0.007348108,0.008637359,0.201037894,0.497372253,INCOME_GRP,2004Rest of East AsiaFood,#N/A,#N/A,#N/A,2004BeninHousing,181,Benin,2004,NA,NA,100,Housing
2004,10,Rest of East Asia,2,Housing,1.78E-06,0.002263753,0.000243992,0.016251718,0.000143265,0.003419324,0.135063524,0.157385577,INCOME_GRP,2004Rest of East AsiaHousing,#N/A,#N/A,#N/A,2004BeninServices,184,Benin,2004,-0.892011058,0.259401386,12.5,Services
2004,10,Rest of East Asia,3,Personal Transportation,1.51E-06,0.008571279,0.0008076,0.013036048,0.000453439,0.005768879,0.217946683,0.246583928,INCOME_GRP,2004Rest of East AsiaPersonal Transportation,#N/A,#N/A,#N/A,2004BeninPersonal Transportation,183,Benin,2004,-2.837614403,0.615323942,33.33333333,Personal Transportation
2004,10,Rest of East Asia,4,Goods,1.08E-06,0.043069589,0.006050733,0.00963906,0.001268426,0.008695771,0.232080211,0.300803789,INCOME_GRP,2004Rest of East AsiaGoods,#N/A,#N/A,#N/A,2004BoliviaFood,201,Bolivia,2004,-0.493104086,0.14400544,0,Food
2004,10,Rest of East Asia,5,Services,5.68E-07,0.007967232,0.002552425,0.005798975,0.000272088,0.003092305,0.096189599,0.115872624,INCOME_GRP,2004Rest of East AsiaServices,#N/A,#N/A,#N/A,2004BoliviaGoods,199,Bolivia,2004,NA,0.000574394,0,Goods
2004,10,Rest of East Asia,GFCF,Gross Fixed Capital Formation,0.00021093,0.03779712,0.002826632,0.055294613,0.001143094,0.016273395,0.834816952,0.948151804,COUNTRY,2004Rest of East AsiaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BoliviaGovernment,203,Bolivia,2004,-0.12737325,0.211911598,9.090909091,Government
2004,10,Rest of East Asia,Govt,Government,0.000129301,0.036804313,0.000848957,0.010653727,0.000384862,0.010906898,0.556122318,0.615721074,COUNTRY,2004Rest of East AsiaGovernment,#N/A,#N/A,#N/A,2004BoliviaHousing,200,Bolivia,2004,-1.574263993,0.159145912,0,Housing
2004,11,Brunei Darussalam,1,Food,3.31E-06,0.195002542,0.114651427,0.015116248,0.030570521,0.005297866,0.107352776,0.46799138,INCOME_GRP,2004Brunei DarussalamFood,0.016378198,0.181778625,0,2004BoliviaServices,202,Bolivia,2004,-0.44643502,0.359030054,37.5,Services
2004,11,Brunei Darussalam,2,Housing,1.65E-05,0.023178902,0.004028571,0.040197381,0.004686562,0.009643312,0.787977743,0.869712471,INCOME_GRP,2004Brunei DarussalamHousing,NA,NA,100,2004BoliviaPersonal Transportation,204,Bolivia,2004,-0.072163408,0.427769734,0,Personal Transportation
2004,11,Brunei Darussalam,3,Personal Transportation,2.16E-05,0.042401136,0.008180621,0.048902732,0.009289133,0.019689834,1.177983653,1.306447109,INCOME_GRP,2004Brunei DarussalamPersonal Transportation,-0.033968934,0.431016144,0,2004BotswanaFood,219,Botswana,2004,-0.616188353,0.187261761,20,Food
2004,11,Brunei Darussalam,4,Goods,4.52E-06,0.073325686,0.009256597,0.065312061,0.008260341,0.007385291,0.158530743,0.322070719,INCOME_GRP,2004Brunei DarussalamGoods,NA,Inf,0,2004BotswanaGoods,217,Botswana,2004,NA,NA,100,Goods
2004,11,Brunei Darussalam,5,Services,0.000202473,0.054129728,0.017707781,0.022273062,0.010730432,0.006096664,0.172579207,0.283516874,INCOME_GRP,2004Brunei DarussalamServices,0.23140144,0.457374171,12.5,2004BotswanaGovernment,221,Botswana,2004,-0.070906875,0.235872944,18.18181818,Government
2004,11,Brunei Darussalam,GFCF,Gross Fixed Capital Formation,0.002951959,0.064474542,0.016512749,0.091360925,0.013107506,0.019058048,0.573601025,0.778114797,COUNTRY,2004Brunei DarussalamGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BotswanaHousing,218,Botswana,2004,NA,NA,100,Housing
2004,11,Brunei Darussalam,Govt,Government,0.00516028,0.11230019,0.01423581,0.049357715,0.018732966,0.017879757,1.290043325,1.502549765,COUNTRY,2004Brunei DarussalamGovernment,0.264919432,0.251087045,45.45454545,2004BotswanaServices,220,Botswana,2004,-0.074435746,0.562761212,25,Services
2004,12,Cambodia,1,Food,8.56E-07,0.308842849,0.080888422,0.025688275,0.044148797,0.008483942,0.016908348,0.484960634,INCOME_GRP,2004CambodiaFood,-0.635844195,0.132177432,0,2004BotswanaPersonal Transportation,222,Botswana,2004,0.1260921,0.4445491,0,Personal Transportation
2004,12,Cambodia,2,Housing,1.00E-06,0.002103599,0.000679725,0.066738008,0.000494426,0.001849513,0.021097203,0.092962473,INCOME_GRP,2004CambodiaHousing,NA,NA,100,2004BrazilFood,237,Brazil,2004,-0.177469603,0.171218636,0,Food
2004,12,Cambodia,3,Personal Transportation,6.08E-07,0.003793912,0.001942627,0.022982272,0.000558304,0.002704881,0.040437213,0.07241921,INCOME_GRP,2004CambodiaPersonal Transportation,-0.541542669,0.388218059,0,2004BrazilGoods,235,Brazil,2004,NA,0.036026516,0,Goods
2004,12,Cambodia,4,Goods,3.28E-07,0.018641385,0.007366956,0.014516905,0.002987165,0.002791099,0.01449395,0.06079746,INCOME_GRP,2004CambodiaGoods,NA,0.000446429,0,2004BrazilGovernment,238,Brazil,2004,-0.164022789,0.240392168,0,Government
2004,12,Cambodia,5,Services,4.15E-07,0.012884534,0.007063824,0.02086717,0.002576488,0.002138114,0.008058917,0.053589046,INCOME_GRP,2004CambodiaServices,-0.733288803,0.29127354,12.5,2004BrazilHousing,236,Brazil,2004,-1.129582263,0.28973749,0,Housing
2004,12,Cambodia,GFCF,Gross Fixed Capital Formation,5.62E-05,0.003632491,0.001763694,0.070557874,0.000569249,0.003817436,0.034704024,0.115044767,COUNTRY,2004CambodiaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004BrazilServices,239,Brazil,2004,0.03214823,0.43174054,25,Services
2004,12,Cambodia,Govt,Government,1.46E-05,0.00477209,0.001731578,0.004533298,0.000854434,0.001047045,0.003463441,0.016401886,COUNTRY,2004CambodiaGovernment,-0.54935944,0.16875375,0,2004BrazilPersonal Transportation,240,Brazil,2004,0.371867007,0.464171516,0,Personal Transportation
2004,13,Indonesia,1,Food,6.570668748,0.330605428,0.011602446,0.006760398,0.17594738,0.008553078,0.050855212,0.584323942,COUNTRY,2004IndonesiaFood,-0.172572617,0.173647824,0,2004Brunei DarussalamFood,256,Brunei Darussalam,2004,0.016378198,0.181778625,0,Food
2004,13,Indonesia,2,Housing,3.55081495,0.003333132,0.000266346,0.024302756,0.000680015,0.0051584,0.125444989,0.159185639,COUNTRY,2004IndonesiaHousing,NA,NA,100,2004Brunei DarussalamGoods,254,Brunei Darussalam,2004,NA,Inf,0,Goods
2004,13,Indonesia,3,Personal Transportation,4.449208793,0.012056047,0.000984869,0.006528925,0.0031464,0.005160629,0.141664141,0.16954101,COUNTRY,2004IndonesiaPersonal Transportation,0.104397244,0.441873273,0,2004Brunei DarussalamGovernment,258,Brunei Darussalam,2004,0.264919432,0.251087045,45.45454545,Government
2004,13,Indonesia,4,Goods,2.979749917,0.026117393,0.002086691,0.01515607,0.003227878,0.004042422,0.037204602,0.087835056,COUNTRY,2004IndonesiaGoods,NA,0.000990099,0,2004Brunei DarussalamHousing,253,Brunei Darussalam,2004,NA,NA,100,Housing
2004,13,Indonesia,5,Services,3.462127991,0.008971332,0.000857202,0.015173774,0.001739803,0.003364356,0.023906312,0.054012779,COUNTRY,2004IndonesiaServices,-0.456335024,0.41015561,0,2004Brunei DarussalamServices,257,Brunei Darussalam,2004,0.23140144,0.457374171,12.5,Services
2004,13,Indonesia,GFCF,Gross Fixed Capital Formation,0.000255194,0.017484674,0.002406829,0.095477176,0.003584262,0.01128514,0.128850605,0.259088686,COUNTRY,2004IndonesiaGross Fixed Capital Formation,#N/A,#N/A,#N/A,2004Brunei DarussalamPersonal Transportation,255,Brunei Darussalam,2004,-0.033968934,0.431016144,0,Personal Transportation
2004,13,Indonesia,Govt,Government,9.82E-05,0.009522795,0.000731644,0.00659482,0.002026671,0.00377073,0.029740047,0.052386708,COUNTRY,2004IndonesiaGovernment,-0.168398811,0.228284567,0,2004BulgariaFood,274,Bulgaria,2004,0.16841417,0.249449736,20,Food
2004,14,Laos,1,Food,1.21E-06,0.460036135,0.168329357,0.007079496,0.015341006,0.061799965,0.026211869,0.738797828,INCOME_GRP,2004LaosFood,#N/A,#N/A,#N/A,2004BulgariaGoods,271,Bulgaria,2004,NA,Inf,0,Goods
