Concat,ZScore_Index,MaxMin_Index,0Percent,Concat2,Indexish,ZScore_Index,MaxMin_Index,NAPercent,GTAP_Region,CLUM_category,year
2004ChinaGovernment,0.359675128,0.210941563,18.18181818,2011ArgentinaHousing,1768,-1.189301208,0.272199573,0,Argentina,Housing,2011
"2004Hong Kong, Special Administrative Region of ChinaFood",0,0,0,2011ArgentinaPersonal Transportation,1443,0.337698647,0.462137155,0,Argentina,Personal Transportation,2011
"2004Hong Kong, Special Administrative Region of ChinaHousing",0,0,0,2011ArgentinaServices,1110,0.420788886,0.613301247,25,Argentina,Services,2011
"2004Hong Kong, Special Administrative Region of ChinaPersonal Transportation",0,0,0,2004ArmeniaFood,439,-0.522845955,0.141938865,0,Armenia,Food,2004
"2004Hong Kong, Special Administrative Region of ChinaGoods",0,0,0,2004ArmeniaGovernment,772,-0.227025477,0.140888114,18.18181818,Armenia,Government,2004
"2004Hong Kong, Special Administrative Region of ChinaServices",0,0,0,2004ArmeniaHousing,1773,NA,NA,100,Armenia,Housing,2004
"2004Hong Kong, Special Administrative Region of ChinaGross Fixed Capital Formation",0,0,0,2004ArmeniaPersonal Transportation,1438,-0.152484868,0.000182961,33.33333333,Armenia,Personal Transportation,2004
"2004Hong Kong, Special Administrative Region of ChinaGovernment",0,0,0,2004ArmeniaServices,1105,0.541190371,0.491824879,12.5,Armenia,Services,2004
2004JapanFood,0.259965285,0.258998746,20,2007ArmeniaFood,440,0.140236788,0.198099423,0,Armenia,Food,2007
2004JapanHousing,1.250521259,0.988712631,0,2007ArmeniaGovernment,773,-0.084509308,0.257543373,0,Armenia,Government,2007
2004JapanPersonal Transportation,0.393586992,0.463889102,0,2007ArmeniaHousing,1772,NA,NA,100,Armenia,Housing,2007
2004JapanGoods,0,0,0,2007ArmeniaPersonal Transportation,1439,0.140612678,0.445763233,0,Armenia,Personal Transportation,2007
2004JapanServices,0.402336329,0.501715228,12.5,2007ArmeniaServices,1106,0.427077564,0.545435627,0,Armenia,Services,2007
2004JapanGross Fixed Capital Formation,0,0,0,2011ArmeniaFood,441,0.210194054,0.203917631,0,Armenia,Food,2011
2004JapanGovernment,-2.209432975,-0.347484726,9.090909091,2011ArmeniaGovernment,774,-0.20065095,0.186648678,9.090909091,Armenia,Government,2011
2004South KoreaFood,0.636010667,0.238886824,0,2011ArmeniaHousing,1771,NA,NA,100,Armenia,Housing,2011
2004South KoreaHousing,0.917076356,0.890788446,0,2011ArmeniaPersonal Transportation,1440,-0.153073616,0.000140767,33.33333333,Armenia,Personal Transportation,2011
2004South KoreaPersonal Transportation,0.24376954,0.453387041,0,2011ArmeniaServices,1107,0.426148342,0.493569542,25,Armenia,Services,2011
2004South KoreaGoods,0,Inf,0,2004AustraliaFood,448,-0.285290345,0.208104082,20,Australia,Food,2004
2004South KoreaServices,0.278831354,0.586548432,12.5,2004AustraliaGovernment,781,0.385557341,0.281684253,27.27272727,Australia,Government,2004
2004South KoreaGross Fixed Capital Formation,0,0,0,2004AustraliaHousing,1776,0.11255421,0.654521,0,Australia,Housing,2004
2004South KoreaGovernment,0.399288717,0.34342015,18.18181818,2004AustraliaPersonal Transportation,1447,0.053223846,0.014925454,33.33333333,Australia,Personal Transportation,2004
2004MongoliaFood,-0.394726516,0.151588367,0,2004AustraliaServices,1114,-0.067148173,0.462852956,37.5,Australia,Services,2004
2004MongoliaHousing,0,0,100,2007AustraliaFood,449,-0.509783502,0.187378467,20,Australia,Food,2007
2004MongoliaPersonal Transportation,0.444075866,0.471376352,0,2007AustraliaGovernment,782,0.379305186,0.314210521,18.18181818,Australia,Government,2007
2004MongoliaGoods,0,0,0,2007AustraliaHousing,1775,0.19391987,0.678416,0,Australia,Housing,2007
2004MongoliaServices,-0.074252469,0.390421034,12.5,2007AustraliaPersonal Transportation,1448,0.088933091,0.017484623,33.33333333,Australia,Personal Transportation,2007
2004MongoliaGross Fixed Capital Formation,0,0,0,2007AustraliaServices,1115,-0.069104344,0.563618612,50,Australia,Services,2007
2004MongoliaGovernment,-0.081327136,0.250144346,9.090909091,2011AustraliaFood,450,-0.10918802,0.22310357,20,Australia,Food,2011
"2004Taiwan, Republic of ChinaFood",0,0,0,2011AustraliaGovernment,783,0.369664528,0.311488295,18.18181818,Australia,Government,2011
"2004Taiwan, Republic of ChinaHousing",0,0,0,2011AustraliaHousing,1774,0.302407417,0.710276,0,Australia,Housing,2011
"2004Taiwan, Republic of ChinaPersonal Transportation",0,0,0,2011AustraliaPersonal Transportation,1449,0.162188558,0.022734611,33.33333333,Australia,Personal Transportation,2011
"2004Taiwan, Republic of ChinaGoods",0,0,0,2011AustraliaServices,1116,0.407030198,0.566129012,37.5,Australia,Services,2011
"2004Taiwan, Republic of ChinaServices",0,0,0,2004AustriaFood,445,0.293820848,0.26339506,20,Austria,Food,2004
"2004Taiwan, Republic of ChinaGross Fixed Capital Formation",0,0,0,2004AustriaGovernment,778,0.327691092,0.455446297,27.27272727,Austria,Government,2004
"2004Taiwan, Republic of ChinaGovernment",0,0,0,2004AustriaHousing,1779,1.179361056,0.967814711,0,Austria,Housing,2004
2004Rest of East AsiaFood,-0.252146583,0.222775522,20,2004AustriaPersonal Transportation,1444,-0.067421783,0.427985436,0,Austria,Personal Transportation,2004
2004Rest of East AsiaHousing,0,0,100,2004AustriaServices,1111,0.642493143,0.449277963,25,Austria,Services,2004
2004Rest of East AsiaPersonal Transportation,-0.154568138,0.0000337,33.33333333,2007AustriaFood,446,0.239763702,0.257934842,20,Austria,Food,2007
2004Rest of East AsiaGoods,0,0,0,2007AustriaGovernment,779,0.313243578,0.367725859,9.090909091,Austria,Government,2007
2004Rest of East AsiaServices,-0.863320009,0.223738328,62.5,2007AustriaHousing,1778,1.179296221,0.967795671,0,Austria,Housing,2007
2004Rest of East AsiaGross Fixed Capital Formation,0,0,0,2007AustriaPersonal Transportation,1445,-0.033371741,0.430810048,0,Austria,Personal Transportation,2007
2004Rest of East AsiaGovernment,0.169813953,0.378656904,63.63636364,2007AustriaServices,1112,0.872641265,0.495251122,25,Austria,Services,2007
2004Brunei DarussalamFood,0.016378198,0.181778625,0,2011AustriaFood,447,0.568948973,0.287728614,20,Austria,Food,2011
2004Brunei DarussalamHousing,0,0,100,2011AustriaGovernment,780,0.287402474,0.361267386,9.090909091,Austria,Government,2011
2004Brunei DarussalamPersonal Transportation,-0.033968934,0.431016144,0,2011AustriaHousing,1777,1.179210485,0.967770492,0,Austria,Housing,2011
2004Brunei DarussalamGoods,0,0,0,2011AustriaPersonal Transportation,1446,-0.01426652,0.432264671,0,Austria,Personal Transportation,2011
2004Brunei DarussalamServices,0.23140144,0.457374171,12.5,2011AustriaServices,1113,1.024141868,0.613954793,12.5,Austria,Services,2011
2004Brunei DarussalamGross Fixed Capital Formation,0,0,0,2004AzerbaijanFood,451,-0.388923542,0.153122497,0,Azerbaijan,Food,2004
2004Brunei DarussalamGovernment,0.264919432,0.251087045,45.45454545,2004AzerbaijanGovernment,784,-0.181373363,0.170732186,9.090909091,Azerbaijan,Government,2004
2004CambodiaFood,-0.635844195,0.132177432,0,2004AzerbaijanHousing,1782,NA,NA,100,Azerbaijan,Housing,2004
2004CambodiaHousing,0,0,100,2004AzerbaijanPersonal Transportation,1450,-0.149996055,0.000361326,33.33333333,Azerbaijan,Personal Transportation,2004
2004CambodiaPersonal Transportation,-0.541542669,0.388218059,0,2004AzerbaijanServices,1117,0.454906652,0.608913207,12.5,Azerbaijan,Services,2004
2004CambodiaGoods,0,0,0,2007AzerbaijanFood,452,0.026432953,0.186968479,0,Azerbaijan,Food,2007
2004CambodiaServices,-0.733288803,0.29127354,12.5,2007AzerbaijanGovernment,785,-0.127831467,0.171173782,9.090909091,Azerbaijan,Government,2007
2004CambodiaGross Fixed Capital Formation,0,0,0,2007AzerbaijanHousing,1781,NA,NA,100,Azerbaijan,Housing,2007
2004CambodiaGovernment,-0.54935944,0.16875375,0,2007AzerbaijanPersonal Transportation,1451,-0.147824647,0.000516944,33.33333333,Azerbaijan,Personal Transportation,2007
2004IndonesiaFood,-0.172572617,0.173647824,0,2007AzerbaijanServices,1118,0.389853084,0.54120287,0,Azerbaijan,Services,2007
2004IndonesiaHousing,0,0,100,2011AzerbaijanFood,453,0.508491172,0.227187682,0,Azerbaijan,Food,2011
2004IndonesiaPersonal Transportation,0.104397244,0.441873273,0,2011AzerbaijanGovernment,786,-0.111179549,0.179679372,9.090909091,Azerbaijan,Government,2011
2004IndonesiaGoods,0,0,0,2011AzerbaijanHousing,1780,NA,NA,100,Azerbaijan,Housing,2011
2004IndonesiaServices,-0.456335024,0.41015561,0,2011AzerbaijanPersonal Transportation,1452,-0.148286696,0.000483831,33.33333333,Azerbaijan,Personal Transportation,2011
2004IndonesiaGross Fixed Capital Formation,0,0,0,2011AzerbaijanServices,1119,0.587292515,0.584182017,0,Azerbaijan,Services,2011
2004IndonesiaGovernment,-0.168398811,0.228284567,0,2004BahrainFood,466,-0.619123676,0.242069711,40,Bahrain,Food,2004
2004LaosFood,-0.33564918,0.215392551,20,2004BahrainGovernment,799,0.031186818,0.252727071,9.090909091,Bahrain,Government,2004
2004LaosHousing,0,0,100,2004BahrainHousing,1785,NA,NA,100,Bahrain,Housing,2004
2004LaosPersonal Transportation,-0.770858757,0.368865693,0,2004BahrainPersonal Transportation,1465,0.477789701,0.474158188,0,Bahrain,Personal Transportation,2004
2004LaosGoods,0,0.000309598,0,2004BahrainServices,1132,0.161417335,0.561667557,25,Bahrain,Services,2004
2004LaosServices,-0.525922152,0.398304507,0,2007BahrainFood,467,0.529812177,0.336065617,40,Bahrain,Food,2007
2004LaosGross Fixed Capital Formation,0,0,0,2007BahrainGovernment,800,0.001765173,0.227231453,18.18181818,Bahrain,Government,2007
2004LaosGovernment,-0.331236656,0.239817688,9.090909091,2007BahrainHousing,1784,NA,NA,100,Bahrain,Housing,2007
2004MalaysiaFood,0.2802578,0.204957752,0,2007BahrainPersonal Transportation,1466,NA,NA,100,Bahrain,Personal Transportation,2007
2004MalaysiaHousing,0.581391503,0.792206445,0,2007BahrainServices,1133,0.093207344,0.323275951,50,Bahrain,Services,2007
2004MalaysiaPersonal Transportation,-0.058776078,0.006898774,33.33333333,2011BahrainFood,468,2.042549931,0.463123547,40,Bahrain,Food,2011
2004MalaysiaGoods,0,0,0,2011BahrainGovernment,801,0.271164816,0.305402938,18.18181818,Bahrain,Government,2011
2004MalaysiaServices,-0.084443471,0.463288144,0,2011BahrainHousing,1783,NA,NA,100,Bahrain,Housing,2011
2004MalaysiaGross Fixed Capital Formation,0,0,0,2011BahrainPersonal Transportation,1467,0.114511999,0.443400901,0,Bahrain,Personal Transportation,2011
2004MalaysiaGovernment,0.410111883,0.27548572,9.090909091,2011BahrainServices,1134,0.57815481,0.595810581,0,Bahrain,Services,2011
2004PhilippinesFood,-0.25844439,0.164885615,0,2004BangladeshFood,454,-0.312471934,0.160694262,0,Bangladesh,Food,2004
2004PhilippinesHousing,0,0,0,2004BangladeshGovernment,787,-0.410830762,0.128739254,18.18181818,Bangladesh,Government,2004
2004PhilippinesPersonal Transportation,0.260082474,0.455626449,0,2004BangladeshHousing,1788,NA,NA,100,Bangladesh,Housing,2004
2004PhilippinesGoods,0,0,0,2004BangladeshPersonal Transportation,1453,-0.146775362,0.000592143,33.33333333,Bangladesh,Personal Transportation,2004
2004PhilippinesServices,-0.810498014,0.347613525,0,2004BangladeshServices,1120,-0.31745125,0.303312443,62.5,Bangladesh,Services,2004
2004PhilippinesGross Fixed Capital Formation,0,0,0,2007BangladeshFood,455,0.083785109,0.194997819,0,Bangladesh,Food,2007
2004PhilippinesGovernment,0.085705371,0.263489892,0,2007BangladeshGovernment,788,0.123738998,0.269857956,18.18181818,Bangladesh,Government,2007
2004SingaporeFood,5.905348033,0.731685914,40,2007BangladeshHousing,1787,NA,NA,100,Bangladesh,Housing,2007
2004SingaporeHousing,0,0,0,2007BangladeshPersonal Transportation,1454,0.452133716,0.472026569,0,Bangladesh,Personal Transportation,2007
2004SingaporePersonal Transportation,-0.069945751,0.006098279,33.33333333,2007BangladeshServices,1121,-0.628194225,0.192232734,37.5,Bangladesh,Services,2007
2004SingaporeGoods,0,0,0,2011BangladeshFood,456,0.445968142,0.226071321,0,Bangladesh,Food,2011
2004SingaporeServices,0.682487738,0.453283365,50,2011BangladeshGovernment,789,-0.078798813,0.26554572,9.090909091,Bangladesh,Government,2011
2004SingaporeGross Fixed Capital Formation,0,0,0,2011BangladeshHousing,1786,NA,NA,100,Bangladesh,Housing,2011
2004SingaporeGovernment,0.493285588,0.31585458,18.18181818,2011BangladeshPersonal Transportation,1455,0.605867998,0.484973322,0,Bangladesh,Personal Transportation,2011
2004ThailandFood,-0.219624652,0.168194568,0,2011BangladeshServices,1122,-0.597774004,0.197793495,37.5,Bangladesh,Services,2011
2004ThailandHousing,0,0,0,2004BelarusFood,484,-0.298149886,0.207921598,20,Belarus,Food,2004
2004ThailandPersonal Transportation,0.226255344,0.452360063,0,2004BelarusGovernment,817,0.162357106,0.264142381,18.18181818,Belarus,Government,2004
2004ThailandGoods,0,0,0,2004BelarusHousing,1791,0.666772309,0.81728059,0,Belarus,Housing,2004
2004ThailandServices,-0.274183071,0.241256171,50,2004BelarusPersonal Transportation,1483,-0.153665043,9.84E-05,33.33333333,Belarus,Personal Transportation,2004
2004ThailandGross Fixed Capital Formation,0,0,0,2004BelarusServices,1150,0.764837263,0.600619449,0,Belarus,Services,2004
2004ThailandGovernment,0.443565816,0.33564588,0,2007BelarusFood,485,0.050182118,0.237227044,20,Belarus,Food,2007
2004VietnamFood,-0.073132161,0.181978285,0,2007BelarusGovernment,818,0.259131683,0.244616915,9.090909091,Belarus,Government,2007
2004VietnamHousing,0,0,100,2007BelarusHousing,1790,0.630818741,0.806721953,0,Belarus,Housing,2007
2004VietnamPersonal Transportation,-0.12975542,0.001811909,33.33333333,2007BelarusPersonal Transportation,1484,-0.153314048,0.000123536,33.33333333,Belarus,Personal Transportation,2007
2004VietnamGoods,0,0.001573427,0,2007BelarusServices,1151,0.750687366,0.603964895,0,Belarus,Services,2007
2004VietnamServices,-0.316203768,0.25913859,25,2011BelarusFood,486,0.492640751,0.27516639,20,Belarus,Food,2011
2004VietnamGross Fixed Capital Formation,0,0,0,2011BelarusGovernment,819,0.498867523,0.334719996,0,Belarus,Government,2011
2004VietnamGovernment,0.223825922,0.190318301,18.18181818,2011BelarusHousing,1789,0.56472929,0.787313182,0,Belarus,Housing,2011
2004Rest of Southeast AsiaFood,-0.376041592,0.156922946,0.380898483,2011BelarusPersonal Transportation,1485,-0.008784143,0.433152028,0,Belarus,Personal Transportation,2011
2004Rest of Southeast AsiaHousing,0,0,100,2011BelarusServices,1152,1.065289555,0.676981981,0,Belarus,Services,2011
2004Rest of Southeast AsiaPersonal Transportation,-0.05749499,0.437036767,0.634830806,2004BelgiumFood,457,0.75070603,0.305457712,20,Belgium,Food,2004
2004Rest of Southeast AsiaGoods,0,0,0,2004BelgiumGovernment,790,0.368024086,0.36917604,9.090909091,Belgium,Government,2004
2004Rest of Southeast AsiaServices,-0.625819251,0.383180671,37.5,2004BelgiumHousing,1794,0.3389222,0.720999452,0,Belgium,Housing,2004
2004Rest of Southeast AsiaGross Fixed Capital Formation,0,0,0,2004BelgiumPersonal Transportation,1456,0.412620951,0.468628298,0,Belgium,Personal Transportation,2004
2004Rest of Southeast AsiaGovernment,-0.135052102,0.268110522,36.36363636,2004BelgiumServices,1123,0.80086967,0.567826728,12.5,Belgium,Services,2004
2004BangladeshFood,-0.312471934,0.160694262,0,2007BelgiumFood,458,0.532720279,0.286182182,20,Belgium,Food,2007
2004BangladeshHousing,0,0,100,2007BelgiumGovernment,791,0.444365627,0.378338537,9.090909091,Belgium,Government,2007
2004BangladeshPersonal Transportation,-0.146775362,0.000592143,33.33333333,2007BelgiumHousing,1793,0.571105728,0.789185778,0,Belgium,Housing,2007
2004BangladeshGoods,0,0,0,2007BelgiumPersonal Transportation,1457,0.536776584,0.479078227,0,Belgium,Personal Transportation,2007
2004BangladeshServices,-0.31745125,0.303312443,62.5,2007BelgiumServices,1124,0.992123252,0.609317659,12.5,Belgium,Services,2007
2004BangladeshGross Fixed Capital Formation,0,0,0,2011BelgiumFood,459,0.722843462,0.303009762,20,Belgium,Food,2011
2004BangladeshGovernment,-0.410830762,0.128739254,18.18181818,2011BelgiumGovernment,792,0.353455115,0.36947803,9.090909091,Belgium,Government,2011
2004IndiaFood,-0.373354472,0.154554639,0,2011BelgiumHousing,1792,0.880661312,0.880094285,0,Belgium,Housing,2011
2004IndiaHousing,0,0,100,2011BelgiumPersonal Transportation,1458,0.559165773,0.480822249,0,Belgium,Personal Transportation,2011
2004IndiaPersonal Transportation,-0.035206966,0.008587898,33.33333333,2011BelgiumServices,1125,1.080754725,0.62917815,12.5,Belgium,Services,2011
2004IndiaGoods,0,0,0,2004BeninFood,469,-0.365275728,0.154163411,0,Benin,Food,2004
2004IndiaServices,0.220615974,0.319496627,37.5,2004BeninGovernment,802,-0.661994275,0.18143202,9.090909091,Benin,Government,2004
2004IndiaGross Fixed Capital Formation,0,0,0,2004BeninHousing,1797,NA,NA,100,Benin,Housing,2004
2004IndiaGovernment,-0.012218662,0.158863862,18.18181818,2004BeninPersonal Transportation,1468,-2.837614403,0.615323942,33.33333333,Benin,Personal Transportation,2004
2004NepalFood,-0.337139112,0.157832527,0,2004BeninServices,1135,-0.892011058,0.259401386,12.5,Benin,Services,2004
2004NepalHousing,0,0,100,2007BeninFood,470,-0.407676579,0.150551258,0,Benin,Food,2007
2004NepalPersonal Transportation,-0.15281137,0.000159562,33.33333333,2007BeninGovernment,803,-0.448382957,0.119097754,18.18181818,Benin,Government,2007
2004NepalGoods,0,0,0,2007BeninHousing,1796,NA,NA,100,Benin,Housing,2007
2004NepalServices,-0.801688805,0.334015169,25,2007BeninPersonal Transportation,1469,NA,NA,100,Benin,Personal Transportation,2007
2004NepalGross Fixed Capital Formation,0,0,0,2007BeninServices,1136,-0.867596729,0.138316203,50,Benin,Services,2007
2004NepalGovernment,-0.140685787,0.16351744,18.18181818,2011BeninFood,471,0.161672467,0.199129382,0,Benin,Food,2011
2004PakistanFood,-0.357243964,0.156165326,0,2011BeninGovernment,804,-0.577843396,0.135205117,9.090909091,Benin,Government,2011
2004PakistanHousing,0,0,100,2011BeninHousing,1795,NA,NA,100,Benin,Housing,2011
2004PakistanPersonal Transportation,-0.129516245,0.00182905,33.33333333,2011BeninPersonal Transportation,1470,-0.891464544,0.358696193,0,Benin,Personal Transportation,2011
2004PakistanGoods,0,0,0,2011BeninServices,1137,-0.695181126,0.287491793,12.5,Benin,Services,2011
2004PakistanServices,-1.262706562,0.401497147,25,2004BoliviaFood,475,-0.493104086,0.14400544,0,Bolivia,Food,2004
2004PakistanGross Fixed Capital Formation,0,0,0,2004BoliviaGovernment,808,-0.12737325,0.211911598,9.090909091,Bolivia,Government,2004
2004PakistanGovernment,-0.255102336,0.149027007,9.090909091,2004BoliviaHousing,1800,-1.574263993,0.159145912,0,Bolivia,Housing,2004
2004Sri LankaFood,-0.270056317,0.164468464,0,2004BoliviaPersonal Transportation,1474,-0.072163408,0.427769734,0,Bolivia,Personal Transportation,2004
2004Sri LankaHousing,0,0,0,2004BoliviaServices,1141,-0.44643502,0.359030054,37.5,Bolivia,Services,2004
2004Sri LankaPersonal Transportation,-0.142957184,0.00086578,33.33333333,2007BoliviaFood,476,-0.187373311,0.170202205,0,Bolivia,Food,2007
2004Sri LankaGoods,0,0,0,2007BoliviaGovernment,809,-0.095691264,0.211376371,9.090909091,Bolivia,Government,2007
2004Sri LankaServices,-0.660760457,0.309340871,25,2007BoliviaHousing,1799,-1.545114831,0.167706271,0,Bolivia,Housing,2007
2004Sri LankaGross Fixed Capital Formation,0,0,0,2007BoliviaPersonal Transportation,1475,-0.001328122,0.433749099,0,Bolivia,Personal Transportation,2007
2004Sri LankaGovernment,-0.175130028,0.148820387,18.18181818,2007BoliviaServices,1142,-0.43781459,0.361025736,37.5,Bolivia,Services,2007
2004Rest of South AsiaFood,-0.499480026,0.144523576,0.525593806,2011BoliviaFood,477,0.007676678,0.187082073,0,Bolivia,Food,2011
2004Rest of South AsiaHousing,0,0,100,2011BoliviaGovernment,810,0.177901286,0.27981662,0,Bolivia,Government,2011
2004Rest of South AsiaPersonal Transportation,-5.717977875,0.350170159,33.33333333,2011BoliviaHousing,1798,-1.50671419,0.178983551,0,Bolivia,Housing,2011
2004Rest of South AsiaGoods,0,0,0,2011BoliviaPersonal Transportation,1476,0.037690128,0.437029191,0,Bolivia,Personal Transportation,2011
2004Rest of South AsiaServices,0.455185687,0.402096628,62.17150387,2011BoliviaServices,1143,-0.364926901,0.422167841,0,Bolivia,Services,2011
2004Rest of South AsiaGross Fixed Capital Formation,0,0,0,2004BotswanaFood,481,-0.616188353,0.187261761,20,Botswana,Food,2004
2004Rest of South AsiaGovernment,-2.404935489,0.210404673,62.68073854,2004BotswanaGovernment,814,-0.070906875,0.235872944,18.18181818,Botswana,Government,2004
2004CanadaFood,-0.221478015,0.214982362,20,2004BotswanaHousing,1803,NA,NA,100,Botswana,Housing,2004
2004CanadaHousing,0.402021838,0.739530192,0,2004BotswanaPersonal Transportation,1480,0.1260921,0.4445491,0,Botswana,Personal Transportation,2004
2004CanadaPersonal Transportation,0.048741619,0.014604227,33.33333333,2004BotswanaServices,1147,-0.074435746,0.562761212,25,Botswana,Services,2004
2004CanadaGoods,0,0,0,2007BotswanaFood,482,-0.587340051,0.190203606,20,Botswana,Food,2007
2004CanadaServices,0.781697114,0.502353562,50,2007BotswanaGovernment,815,0.280596511,0.309608997,9.090909091,Botswana,Government,2007
2004CanadaGross Fixed Capital Formation,0,0,0,2007BotswanaHousing,1802,NA,NA,100,Botswana,Housing,2007
2004CanadaGovernment,0.557194922,0.308149574,27.27272727,2007BotswanaPersonal Transportation,1481,0.108488061,0.443063267,0,Botswana,Personal Transportation,2007
2004United States of AmericaFood,0.320780476,0.266224223,20,2007BotswanaServices,1148,-0.137182361,0.452105754,0,Botswana,Services,2007
2004United States of AmericaHousing,0,0,0,2011BotswanaFood,483,0.196509024,0.201508609,0,Botswana,Food,2011
2004United States of AmericaPersonal Transportation,1.847154723,0.568197832,0,2011BotswanaGovernment,816,-0.115042061,0.141539327,27.27272727,Botswana,Government,2011
2004United States of AmericaGoods,0,0,0,2011BotswanaHousing,1801,NA,NA,100,Botswana,Housing,2011
2004United States of AmericaServices,0.802675386,0.597609616,25,2011BotswanaPersonal Transportation,1482,-0.152955698,0.000149218,33.33333333,Botswana,Personal Transportation,2011
2004United States of AmericaGross Fixed Capital Formation,0,0,0,2011BotswanaServices,1149,-0.306979632,0.234385345,50,Botswana,Services,2011
2004United States of AmericaGovernment,0.480849444,0.374656232,18.18181818,2004BrazilFood,478,-0.177469603,0.171218636,0,Brazil,Food,2004
2004MexicoFood,-0.127380895,0.174963572,0,2004BrazilGovernment,811,-0.164022789,0.240392168,0,Brazil,Government,2004
2004MexicoHousing,-1.246243597,0.255477059,0,2004BrazilHousing,1806,-1.129582263,0.28973749,0,Brazil,Housing,2004
2004MexicoPersonal Transportation,0.301771583,0.458705597,0,2004BrazilPersonal Transportation,1477,0.371867007,0.464171516,0,Brazil,Personal Transportation,2004
2004MexicoGoods,0,0,0,2004BrazilServices,1144,0.03214823,0.43174054,25,Brazil,Services,2004
2004MexicoServices,-0.35493254,0.422218317,0,2007BrazilFood,479,0.206864034,0.203008872,0,Brazil,Food,2007
2004MexicoGross Fixed Capital Formation,0,0,0,2007BrazilGovernment,812,0.184858237,0.277813915,0,Brazil,Government,2007
2004MexicoGovernment,0.200892881,0.301542092,0,2007BrazilHousing,1805,-1.052250253,0.312447911,0,Brazil,Housing,2007
2004Rest of North AmericaFood,-0.379438048,0.537908673,60,2007BrazilPersonal Transportation,1478,0.451875558,0.47060345,0,Brazil,Personal Transportation,2007
