,country_orCode,country,year,ZScore_Index,CLUM_category,MaxMin_Index,NAPercent,,
40,Azerbaijan,Azerbaijan,2004,-0.388923542,Food,0.153122497,0,,
41,Azerbaijan,Azerbaijan,2007,0.026432953,Food,0.186968479,0,,
42,Azerbaijan,Azerbaijan,2011,0.508491172,Food,0.227187682,0,,
43,Bosnia and Herzegovina,Bosnia and Herzegovina,2004,-0.037963911,Food,0.232438321,20,,
44,Bosnia and Herzegovina,Bosnia and Herzegovina,2007,-0.089163277,Food,0.226482962,20,,
45,Bosnia and Herzegovina,Bosnia and Herzegovina,2011,0.162966764,Food,0.24841212,20,,
46,Barbados,Barbados,2004,-0.186812751,Food,0.169378121,0,,
47,Barbados,Barbados,2007,-0.14699479,Food,0.173181406,0,,
48,Barbados,Barbados,2011,-0.130853027,Food,0.173791916,0,,
49,Bangladesh,Bangladesh,2004,-0.312471934,Food,0.160694262,0,,
50,Bangladesh,Bangladesh,2007,0.083785109,Food,0.194997819,0,,
51,Bangladesh,Bangladesh,2011,0.445968142,Food,0.226071321,0,,
52,Belgium,Belgium,2004,0.75070603,Food,0.305457712,20,,
53,Belgium,Belgium,2007,0.532720279,Food,0.286182182,20,,
54,Belgium,Belgium,2011,0.722843462,Food,0.303009762,20,,
55,Burkina Faso,Burkina Faso,2004,-0.585515895,Food,0.135410456,0,,
56,Burkina Faso,Burkina Faso,2007,-0.58706072,Food,0.135259222,0,,
57,Burkina Faso,Burkina Faso,2011,-0.212943655,Food,0.167156016,0,,
58,Bulgaria,Bulgaria,2004,0.16841417,Food,0.249449736,20,,
59,Bulgaria,Bulgaria,2007,-0.673262381,Food,0.175756406,20,,
60,Bulgaria,Bulgaria,2011,0.283492313,Food,0.259331682,20,,
61,Bahrain,Bahrain,2004,-0.619123676,Food,0.242069711,40,,
62,Bahrain,Bahrain,2007,0.529812177,Food,0.336065617,40,,
63,Bahrain,Bahrain,2011,2.042549931,Food,0.463123547,40,,
64,Burundi,Burundi,2004,-0.448583052,Food,0.193234809,20,,
65,Burundi,Burundi,2007,-0.322620005,Food,0.203932792,20,,
66,Burundi,Burundi,2011,-0.187360413,Food,0.215223489,20,,
67,Benin,Benin,2004,-0.365275728,Food,0.154163411,0,,
68,Benin,Benin,2007,-0.407676579,Food,0.150551258,0,,
69,Benin,Benin,2011,0.161672467,Food,0.199129382,0,,
70,Bermuda,Bermuda,2004,-0.379438048,Food,0.537908673,60,,
71,Bermuda,Bermuda,2007,-0.067467079,Food,0.564496082,60,,
72,Bermuda,Bermuda,2011,0.479750291,Food,0.611132126,60,,
73,Brunei Darussalam,Brunei Darussalam,2004,0.016378198,Food,0.181778625,0,,
74,Brunei Darussalam,Brunei Darussalam,2007,0.571682331,Food,0.227254718,0,,
75,Brunei Darussalam,Brunei Darussalam,2011,0.651572501,Food,0.23730225,0,,
76,Bolivia,Bolivia,2004,-0.493104086,Food,0.14400544,0,,
77,Bolivia,Bolivia,2007,-0.187373311,Food,0.170202205,0,,
78,Bolivia,Bolivia,2011,0.007676678,Food,0.187082073,0,,
79,Brazil,Brazil,2004,-0.177469603,Food,0.171218636,0,,
80,Brazil,Brazil,2007,0.206864034,Food,0.203008872,0,,
81,Brazil,Brazil,2011,0.741053394,Food,0.246878489,0,,
82,"Bahamas, The","Bahamas, The",2004,-0.119677085,Food,0.332011012,40,,
83,"Bahamas, The","Bahamas, The",2007,0.192581304,Food,0.359578571,40,,
84,"Bahamas, The","Bahamas, The",2011,1.483901469,Food,0.476656202,40,,
85,Bhutan,Bhutan,2004,-0.559675088,Food,0.186106777,20,,
86,Bhutan,Bhutan,2007,-0.079969419,Food,0.225573811,20,,
87,Bhutan,Bhutan,2011,-0.010527855,Food,0.232614826,20,,
88,Botswana,Botswana,2004,-0.616188353,Food,0.187261761,20,,
89,Botswana,Botswana,2007,-0.587340051,Food,0.190203606,20,,
90,Botswana,Botswana,2011,0.196509024,Food,0.201508609,0,,
91,Belarus,Belarus,2004,-0.298149886,Food,0.207921598,20,,
92,Belarus,Belarus,2007,0.050182118,Food,0.237227044,20,,
93,Belarus,Belarus,2011,0.492640751,Food,0.27516639,20,,
94,Belize,Belize,2004,-0.128833227,Food,0.17361681,0,,
95,Belize,Belize,2007,-0.148717306,Food,0.172575156,0,,
96,Belize,Belize,2011,-0.285498991,Food,0.161119418,0,,
97,Canada,Canada,2004,-0.221478015,Food,0.214982362,20,,
98,Canada,Canada,2007,-0.181976743,Food,0.218064525,20,,
99,Canada,Canada,2011,0.048661356,Food,0.238445479,20,,
100,"Congo, Dem. Rep.","Congo, Dem. Rep.",2004,-0.494020093,Food,0.188577698,20,,
101,"Congo, Dem. Rep.","Congo, Dem. Rep.",2007,-0.457347778,Food,0.191701521,20,,
102,"Congo, Dem. Rep.","Congo, Dem. Rep.",2011,-0.266445053,Food,0.207969074,20,,
103,Central African Republic,Central African Republic,2004,-0.655320401,Food,0.185028571,20,,
104,Central African Republic,Central African Republic,2007,-0.3629196,Food,0.209856315,20,,
105,Central African Republic,Central African Republic,2011,-0.093731054,Food,0.178007638,0,,
106,"Congo, Rep.","Congo, Rep.",2004,-0.56910409,Food,0.136614166,0,,
107,"Congo, Rep.","Congo, Rep.",2007,-0.318257121,Food,0.158049391,0,,
108,"Congo, Rep.","Congo, Rep.",2011,-0.042516871,Food,0.18155778,0,,
109,Switzerland,Switzerland,2004,0.353943723,Food,0.268575967,20,,
110,Switzerland,Switzerland,2007,0.314045947,Food,0.264687108,20,,
111,Switzerland,Switzerland,2011,0.526868198,Food,0.283539098,20,,
112,Cote d'Ivoire,Cote d'Ivoire,2004,-0.375854946,Food,0.153921222,0,,
113,Cote d'Ivoire,Cote d'Ivoire,2007,-0.347378691,Food,0.155940267,0,,
114,Cote d'Ivoire,Cote d'Ivoire,2011,-0.105280309,Food,0.176952557,0,,
115,Chile,Chile,2004,0.210890299,Food,0.2048807,0,,
116,Chile,Chile,2007,0.354311748,Food,0.216995928,0,,
117,Chile,Chile,2011,0.612302621,Food,0.240436543,0,,
118,Cameroon,Cameroon,2004,-0.571493378,Food,0.137201326,0,,
119,Cameroon,Cameroon,2007,-0.115948232,Food,0.176023423,0,,
120,Cameroon,Cameroon,2011,0.428562734,Food,0.222143266,0,,
121,China,China,2004,-0.012963093,Food,0.187500796,0,,
122,China,China,2007,0.197545234,Food,0.20543267,0,,
123,China,China,2011,0.501668768,Food,0.231464072,0,,
124,Colombia,Colombia,2004,-0.108678455,Food,0.177243917,0,,
125,Colombia,Colombia,2007,0.075827932,Food,0.192539828,0,,
126,Colombia,Colombia,2011,0.077219744,Food,0.192016226,0,,
127,Costa Rica,Costa Rica,2004,-0.103881737,Food,0.175441056,0,,
128,Costa Rica,Costa Rica,2007,0.221462921,Food,0.203472309,0,,
129,Costa Rica,Costa Rica,2011,0.355735587,Food,0.214928469,0,,
130,Cuba,Cuba,2004,0.408834335,Food,0.217784256,0,,
131,Cuba,Cuba,2007,0.209351323,Food,0.198992233,0,,
132,Cuba,Cuba,2011,0.033667462,Food,0.185432269,0,,
133,Cabo Verde,Cabo Verde,2004,-0.646495005,Food,0.184465171,20,,
134,Cabo Verde,Cabo Verde,2007,-0.363023623,Food,0.208072685,20,,
135,Cabo Verde,Cabo Verde,2011,-0.783428289,Food,0.172174357,20,,
136,Curacao,Curacao,2004,NA,Food,NA,100,,
137,Curacao,Curacao,2007,NA,Food,NA,100,,
138,Curacao,Curacao,2011,NA,Food,NA,100,,
139,Cyprus,Cyprus,2004,-0.147853006,Food,0.218932962,20,,
140,Cyprus,Cyprus,2007,-0.523196983,Food,0.186899451,20,,
141,Cyprus,Cyprus,2011,-0.555880981,Food,0.184485861,20,,
142,Czech Republic,Czech Republic,2004,0.22941379,Food,0.256562884,20,,
143,Czech Republic,Czech Republic,2007,-0.028551076,Food,0.233229513,20,,
144,Czech Republic,Czech Republic,2011,0.139503119,Food,0.249066027,20,,
145,Germany,Germany,2004,0.471732094,Food,0.279500406,20,,
146,Germany,Germany,2007,0.256593892,Food,0.259483525,20,,
147,Germany,Germany,2011,0.404039668,Food,0.272538808,20,,
148,Djibouti,Djibouti,2004,-0.585676902,Food,0.191919988,20,,
149,Djibouti,Djibouti,2007,0.323472575,Food,0.269417674,20,,
150,Djibouti,Djibouti,2011,0.247275138,Food,0.262953342,20,,
151,Denmark,Denmark,2004,0.235211016,Food,0.257673123,20,,
152,Denmark,Denmark,2007,0.188405688,Food,0.253214409,20,,
153,Denmark,Denmark,2011,0.299254861,Food,0.263056493,20,,
154,Dominica,Dominica,2004,-0.387359499,Food,0.197877434,20,,
155,Dominica,Dominica,2007,-0.227677367,Food,0.211331648,20,,
156,Dominica,Dominica,2011,-0.297800048,Food,0.205699025,20,,
157,Dominican Republic,Dominican Republic,2004,-0.277954219,Food,0.164538916,0,,
158,Dominican Republic,Dominican Republic,2007,0.061070816,Food,0.193867893,0,,
159,Dominican Republic,Dominican Republic,2011,0.304464417,Food,0.214720632,0,,
160,Algeria,Algeria,2004,-0.356571779,Food,0.154293001,0,,
161,Algeria,Algeria,2007,-0.428508938,Food,0.147949732,0,,
162,Algeria,Algeria,2011,0.307291571,Food,0.210566959,0,,
163,Ecuador,Ecuador,2004,-0.216482094,Food,0.168237395,0,,
164,Ecuador,Ecuador,2007,-0.091131257,Food,0.179178953,0,,
165,Ecuador,Ecuador,2011,0.139630546,Food,0.197896188,0,,
166,Estonia,Estonia,2004,-0.374160841,Food,0.20072393,20,,
167,Estonia,Estonia,2007,0.000998841,Food,0.233685187,20,,
168,Estonia,Estonia,2011,0.360919504,Food,0.263792556,20,,
169,"Egypt, Arab Rep.","Egypt, Arab Rep.",2004,0.49247188,Food,0.229877227,0,,
170,"Egypt, Arab Rep.","Egypt, Arab Rep.",2007,0.644932027,Food,0.24346946,0,,
171,"Egypt, Arab Rep.","Egypt, Arab Rep.",2011,0.809815001,Food,0.25567806,0,,
172,Eritrea,Eritrea,2004,-0.839511644,Food,0.158431402,20,,
173,Eritrea,Eritrea,2007,0.025064369,Food,0.233041556,20,,
174,Eritrea,Eritrea,2011,-0.328199786,Food,0.202215714,20,,
175,Spain,Spain,2004,-0.01947613,Food,0.23269626,20,,
176,Spain,Spain,2007,-0.033328326,Food,0.231801083,20,,
177,Spain,Spain,2011,0.063172989,Food,0.239797461,20,,
178,Ethiopia,Ethiopia,2004,-0.567320779,Food,0.137338556,0,,
179,Ethiopia,Ethiopia,2007,-0.315958903,Food,0.159009912,0,,
180,Ethiopia,Ethiopia,2011,0.221087219,Food,0.205283779,0,,
181,Finland,Finland,2004,-0.193835788,Food,0.217179718,20,,
182,Finland,Finland,2007,-0.0633806,Food,0.228956632,20,,
183,Finland,Finland,2011,-0.177252248,Food,0.219205378,20,,
184,Fiji,Fiji,2004,-0.170309439,Food,0.170150371,0,,
185,Fiji,Fiji,2007,-0.179595205,Food,0.169646929,0,,
186,Fiji,Fiji,2011,-0.199830971,Food,0.168155754,0,,
187,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",2004,-0.631113415,Food,0.283536093,40,,
188,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",2007,-0.353914832,Food,0.307042621,40,,
189,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",2011,-0.970115733,Food,0.255233436,40,,
190,Faroe Islands,Faroe Islands,2004,-0.345831419,Food,0.540772764,60,,
191,Faroe Islands,Faroe Islands,2007,-0.363585865,Food,0.53925966,60,,
192,Faroe Islands,Faroe Islands,2011,-0.329979236,Food,0.54212375,60,,
193,France,France,2004,0.502499521,Food,0.282363747,20,,
194,France,France,2007,0.196353773,Food,0.254868759,20,,
195,France,France,2011,0.346572146,Food,0.268458154,20,,
196,Gabon,Gabon,2004,-0.199458803,Food,0.166757274,0,,
197,Gabon,Gabon,2007,-0.131807628,Food,0.1724242,0,,
198,Gabon,Gabon,2011,0.064567275,Food,0.189097066,0,,
199,United Kingdom,United Kingdom,2004,0.371383489,Food,0.270253929,20,,
200,United Kingdom,United Kingdom,2007,0.279649744,Food,0.261979303,20,,
201,United Kingdom,United Kingdom,2011,0.495859654,Food,0.280954797,20,,
202,Grenada,Grenada,2004,0.407575398,Food,0.371536779,40,,
203,Grenada,Grenada,2007,-0.765432845,Food,0.27156176,40,,
204,Grenada,Grenada,2011,-0.608226761,Food,0.284980513,40,,
205,Georgia,Georgia,2004,-0.267805916,Food,0.163010545,0,,
206,Georgia,Georgia,2007,-0.402351685,Food,0.150963535,0,,
207,Georgia,Georgia,2011,-0.599201473,Food,0.134604679,0,,
208,Ghana,Ghana,2004,-0.414867928,Food,0.149941725,0,,
209,Ghana,Ghana,2007,-0.353222629,Food,0.15488169,0,,
210,Ghana,Ghana,2011,0.229523738,Food,0.204182405,0,,
211,Gibraltar,Gibraltar,2004,NA,Food,NA,100,,
212,Gibraltar,Gibraltar,2007,NA,Food,NA,100,,
213,Gibraltar,Gibraltar,2011,NA,Food,NA,100,,
214,Greenland,Greenland,2004,-0.227257088,Food,0.550878141,60,,
215,Greenland,Greenland,2007,-0.080782913,Food,0.563361254,60,,
216,Greenland,Greenland,2011,-0.441578607,Food,0.532612807,60,,
217,"Gambia, The","Gambia, The",2004,-0.266194215,Food,0.162400854,0,,
218,"Gambia, The","Gambia, The",2007,-0.893778689,Food,0.10858653,0,,
219,"Gambia, The","Gambia, The",2011,-0.573690917,Food,0.135369861,0,,
220,Guinea,Guinea,2004,-0.451195321,Food,0.147397458,0,,
221,Guinea,Guinea,2007,-0.30337125,Food,0.15996015,0,,
222,Guinea,Guinea,2011,-0.011976124,Food,0.184385121,0,,
223,Equatorial Guinea,Equatorial Guinea,2004,-0.50752369,Food,0.526992705,60,,
224,Equatorial Guinea,Equatorial Guinea,2007,0.050473165,Food,0.57454742,60,,
225,Equatorial Guinea,Equatorial Guinea,2011,0.429657392,Food,0.60686301,60,,
226,Greece,Greece,2004,-0.040258022,Food,0.231267953,20,,
227,Greece,Greece,2007,-0.216889904,Food,0.216351217,20,,
228,Greece,Greece,2011,-0.23602251,Food,0.215100932,20,,
229,Guatemala,Guatemala,2004,-0.366229375,Food,0.154709712,0,,
230,Guatemala,Guatemala,2007,0.041684123,Food,0.189649367,0,,
231,Guatemala,Guatemala,2011,0.212864498,Food,0.203623925,0,,
232,Guam,Guam,2004,-0.397871588,Food,0.30512345,40,,
233,Guam,Guam,2007,-0.201142168,Food,0.322484357,40,,
234,Guam,Guam,2011,-0.408151629,Food,0.304986171,40,,
235,Guinea-Bissau,Guinea-Bissau,2004,-0.590893624,Food,0.190656535,20,,
236,Guinea-Bissau,Guinea-Bissau,2007,-0.376018846,Food,0.209078172,20,,
237,Guinea-Bissau,Guinea-Bissau,2011,0.123781057,Food,0.25187401,20,,
238,Guyana,Guyana,2004,0.047451426,Food,0.191942101,0,,
239,Guyana,Guyana,2007,-0.092395785,Food,0.180158678,0,,
240,Guyana,Guyana,2011,0.146035555,Food,0.200751778,0,,
241,"Hong Kong SAR, China","Hong Kong SAR, China",2004,-0.246363519,Food,0.210144307,20,,
242,"Hong Kong SAR, China","Hong Kong SAR, China",2007,-0.52199009,Food,0.1865556,20,,
243,"Hong Kong SAR, China","Hong Kong SAR, China",2011,-1.031542712,Food,0.141919765,20,,
244,Honduras,Honduras,2004,-0.414166112,Food,0.149891792,0,,
245,Honduras,Honduras,2007,-0.222082172,Food,0.166452309,0,,
246,Honduras,Honduras,2011,-0.131805365,Food,0.174308934,0,,
247,Croatia,Croatia,2004,0.149214696,Food,0.248952659,20,,
248,Croatia,Croatia,2007,0.250147148,Food,0.256017728,20,,
249,Croatia,Croatia,2011,0.288765896,Food,0.260585741,20,,
250,Haiti,Haiti,2004,-0.626315932,Food,0.187530751,20,,
251,Haiti,Haiti,2007,-0.34069204,Food,0.211911867,20,,
252,Haiti,Haiti,2011,0.411608482,Food,0.276029113,20,,
253,Hungary,Hungary,2004,0.372557761,Food,0.268930635,20,,
254,Hungary,Hungary,2007,-0.548126917,Food,0.187457131,20,,
255,Hungary,Hungary,2011,-0.17178138,Food,0.221870642,20,,
256,Indonesia,Indonesia,2004,-0.172572617,Food,0.173647824,0,,
257,Indonesia,Indonesia,2007,0.064183008,Food,0.1939077,0,,
258,Indonesia,Indonesia,2011,0.406672138,Food,0.223266106,0,,
259,Ireland,Ireland,2004,0.568209402,Food,0.287936192,20,,
260,Ireland,Ireland,2007,0.486989758,Food,0.279869755,20,,
261,Ireland,Ireland,2011,0.61573759,Food,0.292606027,20,,
262,Israel,Israel,2004,-0.108758301,Food,0.223610735,20,,
263,Israel,Israel,2007,-0.057423907,Food,0.227461234,20,,
264,Israel,Israel,2011,0.075128191,Food,0.240358568,20,,
265,Isle of Man,Isle of Man,2004,NA,Food,NA,100,,
266,Isle of Man,Isle of Man,2007,NA,Food,NA,100,,
267,Isle of Man,Isle of Man,2011,NA,Food,NA,100,,
268,India,India,2004,-0.373354472,Food,0.154554639,0,,
269,India,India,2007,-0.033485304,Food,0.183717134,0,,
270,India,India,2011,0.273729902,Food,0.209951476,0,,
271,Iraq,Iraq,2004,-0.551584363,Food,0.138437577,0,,
272,Iraq,Iraq,2007,-0.373761772,Food,0.153713855,0,,
273,Iraq,Iraq,2011,-0.17602381,Food,0.171128818,0,,
274,"Iran, Islamic Rep.","Iran, Islamic Rep.",2004,-0.279932597,Food,0.161564667,0,,
275,"Iran, Islamic Rep.","Iran, Islamic Rep.",2007,-0.068380308,Food,0.179732175,0,,
276,"Iran, Islamic Rep.","Iran, Islamic Rep.",2011,-0.240200859,Food,0.164413886,0,,
277,Iceland,Iceland,2004,-0.250023313,Food,0.272848715,40,,
278,Iceland,Iceland,2007,0.009730474,Food,0.294709802,40,,
279,Iceland,Iceland,2011,0.133936078,Food,0.305466962,40,,
280,Italy,Italy,2004,0.221545545,Food,0.255583427,20,,
281,Italy,Italy,2007,0.011210336,Food,0.23724615,20,,
282,Italy,Italy,2011,0.088672442,Food,0.244743206,20,,
283,Channel Islands,Channel Islands,2004,NA,Food,NA,100,,
284,Channel Islands,Channel Islands,2007,NA,Food,NA,100,,
285,Channel Islands,Channel Islands,2011,NA,Food,NA,100,,
286,Jamaica,Jamaica,2004,-0.256581028,Food,0.16216266,0,,
287,Jamaica,Jamaica,2007,-0.308406349,Food,0.158100044,0,,
288,Jamaica,Jamaica,2011,-0.298505368,Food,0.159258333,0,,
289,Jordan,Jordan,2004,-0.058895356,Food,0.176610172,0,,
290,Jordan,Jordan,2007,0.313505984,Food,0.204507355,0,,
291,Jordan,Jordan,2011,0.958960744,Food,0.259423409,0,,
292,Japan,Japan,2004,0.259965285,Food,0.258998746,20,,
293,Japan,Japan,2007,0.288193013,Food,0.261584541,20,,
294,Japan,Japan,2011,0.155283728,Food,0.250470439,20,,
295,Kenya,Kenya,2004,-0.555754462,Food,0.138849174,0,,
296,Kenya,Kenya,2007,-0.23662569,Food,0.165909347,0,,
297,Kenya,Kenya,2011,-0.115966105,Food,0.175836866,0,,
298,Kyrgyz Republic,Kyrgyz Republic,2004,-0.222189611,Food,0.168058249,0,,
299,Kyrgyz Republic,Kyrgyz Republic,2007,-0.238969013,Food,0.165829882,0,,
300,Kyrgyz Republic,Kyrgyz Republic,2011,-0.117191067,Food,0.176094629,0,,
301,Cambodia,Cambodia,2004,-0.635844195,Food,0.132177432,0,,
302,Cambodia,Cambodia,2007,0.031565278,Food,0.189649349,0,,
303,Cambodia,Cambodia,2011,0.860506029,Food,0.260565963,0,,
304,Kiribati,Kiribati,2004,-0.169797643,Food,0.290483267,40,,
305,Kiribati,Kiribati,2007,0.462348854,Food,0.344534096,40,,
306,Kiribati,Kiribati,2011,-1.255393737,Food,0.198141229,40,,
307,Comoros,Comoros,2004,-0.508775021,Food,0.294094776,40,,
308,Comoros,Comoros,2007,-0.269162109,Food,0.314568635,40,,
309,Comoros,Comoros,2011,-0.325636265,Food,0.309794758,40,,
310,St. Kitts and Nevis,St. Kitts and Nevis,2004,2.183979613,Food,0.480922762,40,,
311,St. Kitts and Nevis,St. Kitts and Nevis,2007,-2.381076819,Food,0.091847516,40,,
312,St. Kitts and Nevis,St. Kitts and Nevis,2011,-2.229788483,Food,0.104751376,40,,
313,"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep.",2004,-0.252146583,Food,0.222775522,20,,
314,"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep.",2007,-0.472032321,Food,0.203319082,20,,
315,"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep.",2011,-0.246230377,Food,0.223561638,20,,
316,"Korea, Rep.","Korea, Rep.",2004,0.636010667,Food,0.238886824,0,,
317,"Korea, Rep.","Korea, Rep.",2007,0.629279745,Food,0.237932584,0,,
318,"Korea, Rep.","Korea, Rep.",2011,0.791021168,Food,0.249968584,0,,
319,Kuwait,Kuwait,2004,0.567454416,Food,0.233621179,0,,
320,Kuwait,Kuwait,2007,1.199825586,Food,0.290894639,0,,
321,Kuwait,Kuwait,2011,2.424013907,Food,0.397935012,0,,
322,Cayman Islands,Cayman Islands,2004,-0.465039838,Food,0.530613348,60,,
323,Cayman Islands,Cayman Islands,2007,-0.200625419,Food,0.553147798,60,,
324,Cayman Islands,Cayman Islands,2011,-0.178432363,Food,0.555039179,60,,
325,Kazakhstan,Kazakhstan,2004,-0.425562949,Food,0.147286574,0,,
326,Kazakhstan,Kazakhstan,2007,0.043867385,Food,0.187761848,0,,
327,Kazakhstan,Kazakhstan,2011,0.578068121,Food,0.232132284,0,,
328,Lao PDR,Lao PDR,2004,-0.33564918,Food,0.215392551,20,,
329,Lao PDR,Lao PDR,2007,0.040619617,Food,0.248146353,20,,
330,Lao PDR,Lao PDR,2011,0.688373283,Food,0.303545074,20,,
331,Lebanon,Lebanon,2004,0.185255405,Food,0.198519242,0,,
332,Lebanon,Lebanon,2007,-0.039727776,Food,0.179952594,0,,
333,Lebanon,Lebanon,2011,-0.215928115,Food,0.165810824,0,,
334,St. Lucia,St. Lucia,2004,0.430291479,Food,0.606917049,60,,
335,St. Lucia,St. Lucia,2007,-0.487232895,Food,0.528721967,60,,
336,St. Lucia,St. Lucia,2011,-1.030023975,Food,0.206638711,40,,
337,Liechtenstein,Liechtenstein,2004,-0.234866136,Food,0.550229668,60,,
338,Liechtenstein,Liechtenstein,2007,-0.502450991,Food,0.52742502,60,,
339,Liechtenstein,Liechtenstein,2011,-0.104878232,Food,0.561307755,60,,
340,Sri Lanka,Sri Lanka,2004,-0.270056317,Food,0.164468464,0,,
341,Sri Lanka,Sri Lanka,2007,-0.093809532,Food,0.179651434,0,,
342,Sri Lanka,Sri Lanka,2011,0.131746443,Food,0.198692813,0,,
343,Liberia,Liberia,2004,-0.645910812,Food,0.18570454,20,,
344,Liberia,Liberia,2007,-0.200278967,Food,0.224429712,20,,
345,Liberia,Liberia,2011,0.138853308,Food,0.252942642,20,,
346,Lesotho,Lesotho,2004,-0.575698751,Food,0.19025646,20,,
347,Lesotho,Lesotho,2007,-0.451654136,Food,0.200510651,20,,
348,Lesotho,Lesotho,2011,-0.259166768,Food,0.217345215,20,,
349,Lithuania,Lithuania,2004,-0.159730986,Food,0.220014729,20,,
350,Lithuania,Lithuania,2007,-0.011351557,Food,0.232583345,20,,
351,Lithuania,Lithuania,2011,0.041710837,Food,0.23717851,20,,
352,Luxembourg,Luxembourg,2004,0.303069299,Food,0.263381131,20,,
353,Luxembourg,Luxembourg,2007,0.089397488,Food,0.243668391,20,,
354,Luxembourg,Luxembourg,2011,-0.018481803,Food,0.234479756,20,,
355,Latvia,Latvia,2004,-0.385361145,Food,0.199971228,20,,
356,Latvia,Latvia,2007,0.127890662,Food,0.244430516,20,,
357,Latvia,Latvia,2011,0.183093746,Food,0.248796128,20,,
358,Libya,Libya,2004,-0.521550071,Food,0.185856513,20,,
359,Libya,Libya,2007,-0.342391823,Food,0.201090676,20,,
360,Libya,Libya,2011,-0.20974379,Food,0.212528808,20,,
361,Morocco,Morocco,2004,-0.322410071,Food,0.157009263,0,,
362,Morocco,Morocco,2007,-0.465306751,Food,0.143578226,0,,
363,Morocco,Morocco,2011,0.205281012,Food,0.201893678,0,,
364,Moldova,Moldova,2004,-0.120088712,Food,0.223336023,20,,
365,Moldova,Moldova,2007,-0.812639202,Food,0.163274559,20,,
366,Moldova,Moldova,2011,-0.187453537,Food,0.217627429,20,,
367,Montenegro,Montenegro,2004,NA,Food,NA,100,,
368,Montenegro,Montenegro,2007,-0.397915541,Food,0.198445871,20,,
369,Montenegro,Montenegro,2011,-0.215095301,Food,0.215895981,20,,
370,St. Martin (French part),St. Martin (French part),2004,NA,Food,NA,100,,
371,St. Martin (French part),St. Martin (French part),2007,NA,Food,NA,100,,
372,St. Martin (French part),St. Martin (French part),2011,NA,Food,NA,100,,
373,Madagascar,Madagascar,2004,-0.462985358,Food,0.147438675,0,,
374,Madagascar,Madagascar,2007,-0.189093835,Food,0.171036531,0,,
375,Madagascar,Madagascar,2011,0.088595093,Food,0.195422827,0,,
376,Marshall Islands,Marshall Islands,2004,-0.797726899,Food,0.226845978,40,,
