GTAP9_Code,year,ass_pov_extr
109,2004,15.56479
109,2007,5.1
109,2011,3.823458
110,2004,1.3660455875
110,2007,0.9641823500000001
110,2011,0.4283647
111,2004,0.125887
111,2007,0.125887
111,2011,0.125887
112,2004,28.1
112,2007,25.981608
112,2011,17.50804
113,2004,22.8
113,2007,21.475
113,2011,17.5
114,2004,38
114,2007,31.578011428571426
114,2011,23.01536
115,2004,28.2
115,2007,23.79136
115,2011,14.974079999999999
116,2004,16.9
116,2007,16.9
116,2011,11.90619
117,2004,56
117,2007,48.51642
117,2011,33.549260000000004
118,2004,30.939752
118,2007,26.859938
118,2011,15.1529
119,2004,38.1
119,2007,28.380000000000003
119,2011,12.72219
120,2004,28.6
120,2007,27.5561325
120,2011,22.277910000000006
121,2004,58.09754461593911
121,2007,54.00815857552943
121,2011,38.07287731251909
122,2004,46.39872794509907
122,2007,44.88456540037252
122,2011,43.81584888364676
123,2004,60.701139772967515
123,2007,60.72572534400792
123,2011,59.580810929940576
124,2004,87.5
124,2007,83.83333333333333
124,2011,76.5
125,2004,41.629296000000004
125,2007,31.182324
125,2011,27.7
126,2004,63.36466999999999
126,2007,56.1161675
126,2011,53.699999999999996
127,2004,48
127,2007,43.2
127,2011,38.4
128,2004,NaN
128,2007,NaN
128,2011,NaN
129,2004,53.83318333333334
129,2007,47.813273333333335
129,2011,42.44818
130,2004,73.7
130,2007,62.58
130,2011,45.9
131,2004,40.6
131,2007,40.6
131,2011,35
132,2004,50.10000000000001
132,2007,46.120000000000005
132,2011,30.2
133,2004,39.5
133,2007,39.5
133,2011,30.188946666666666
134,2004,34.3
134,2007,32.599999999999994
134,2011,25.1699575
135,2004,52.44073875651809
135,2007,51.784773741135126
135,2011,50.73564830066727
136,2004,NaN
136,2007,NaN
136,2011,NaN
137,2004,24.6
137,2007,23.410932857142857
137,2011,18.654664285714286
138,2004,1.505064
138,2007,4.276266000000001
138,2011,3.6949007500000004
139,2004,35.92661605254391
139,2007,28.691224139961246
139,2011,20.41273913001182
140,2004,0
140,2007,0
140,2011,0
